reg;week;P_f;P_h;P;T_f;T_h;T;cl_age90;pop
52;2020-S22;17;21;38;1070;736;1842;39;456089
52;2020-S22;17;21;38;1028;609;1678;49;487292
52;2020-S22;17;16;33;925;616;1572;59;483216
52;2020-S22;9;5;14;547;595;1160;69;463141
52;2020-S22;10;6;16;511;540;1058;79;327708
52;2020-S22;4;6;10;852;527;1401;89;195383
52;2020-S22;17;8;25;697;235;940;90;57819
52;2020-S22;118;122;241;7401;5573;13260;0;3801797
53;2020-S22;2;1;3;310;369;710;09;356171
53;2020-S22;4;8;12;287;331;633;19;417460
53;2020-S22;6;7;13;535;584;1122;29;336312
53;2020-S22;8;7;15;602;554;1156;39;378200
53;2020-S22;7;7;14;657;459;1116;49;424113
53;2020-S22;4;4;8;628;521;1149;59;442875
53;2020-S22;3;2;5;416;410;826;69;436709
53;2020-S22;4;0;4;389;356;745;79;310902
53;2020-S22;5;5;10;481;313;794;89;188000
53;2020-S22;5;1;6;294;120;414;90;49637
53;2020-S22;48;42;90;4599;4018;8666;0;3340379
75;2020-S22;5;4;9;539;699;1246;09;598395
75;2020-S22;2;5;7;779;925;1709;19;694926
75;2020-S22;16;16;32;1652;1657;3316;29;595642
75;2020-S22;6;13;19;1774;1263;3054;39;679104
75;2020-S22;11;20;31;1963;1314;3286;49;757513
75;2020-S22;13;7;20;2062;1282;3363;59;804241
75;2020-S22;6;3;9;1127;998;2131;69;809683
75;2020-S22;5;6;11;833;872;1705;79;601384
75;2020-S22;10;7;17;1225;739;1967;89;353294
75;2020-S22;8;2;10;934;323;1257;90;105800
75;2020-S22;82;83;165;12888;10076;23038;0;5999982
76;2020-S22;2;1;3;503;552;1079;09;624545
76;2020-S22;2;2;4;685;725;1432;19;695911
76;2020-S22;6;6;12;1686;1190;2883;29;635780
76;2020-S22;11;10;21;1866;1223;3095;39;694345
76;2020-S22;11;8;19;1934;1219;3157;49;740353
76;2020-S22;8;7;15;1990;1492;3486;59;786358
76;2020-S22;7;3;10;1537;1551;3093;69;753886
76;2020-S22;2;7;9;1406;1561;2971;79;572470
76;2020-S22;8;2;10;1714;1056;2777;89;325110
76;2020-S22;10;6;16;1251;443;1698;90;96100
76;2020-S22;67;52;119;14580;11013;25680;0;5924858
84;2020-S22;1;3;4;788;978;1776;09;940637
84;2020-S22;6;5;11;914;967;1885;19;999616
84;2020-S22;14;9;23;1825;1371;3198;29;894918
84;2020-S22;15;10;25;2079;1411;3493;39;1005784
84;2020-S22;21;10;32;1904;1374;3280;49;1035354
84;2020-S22;21;19;40;1933;1436;3370;59;1044459
84;2020-S22;9;16;25;1537;1529;3067;69;926660
84;2020-S22;15;10;26;1353;1426;2784;79;687362
84;2020-S22;17;9;26;1542;1084;2627;89;387722
84;2020-S22;19;2;21;1014;340;1355;90;109865
84;2020-S22;138;93;260;14889;11920;26885;0;8032377
93;2020-S22;2;3;5;494;574;1117;09;551927
93;2020-S22;5;2;7;645;625;1355;19;576838
93;2020-S22;11;4;18;1799;1197;3198;29;509956
93;2020-S22;9;13;24;1886;1399;3494;39;599102
93;2020-S22;12;26;39;1870;1480;3517;49;631386
93;2020-S22;14;9;24;2162;1632;3962;59;678493
93;2020-S22;14;11;28;1721;1667;3569;69;632786
93;2020-S22;8;12;23;1633;1627;3440;79;509519
93;2020-S22;11;9;21;1554;1128;2805;89;284990
93;2020-S22;19;9;28;1079;329;1443;90;80654
93;2020-S22;105;98;217;14846;11662;27910;0;5055651
94;2020-S22;0;0;0;11;17;29;09;33744
94;2020-S22;0;0;0;29;29;59;19;34811
94;2020-S22;0;0;0;101;70;172;29;33361
94;2020-S22;1;0;1;140;88;228;39;43624
94;2020-S22;0;0;0;115;109;224;49;45205
94;2020-S22;0;0;0;132;111;243;59;47970
94;2020-S22;1;1;2;120;116;236;69;45095
